neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
145.681113,163.224529,105.284811,175.035813,159.835004,168.405678,99.342586,176.686223,131.914846,86.822597,173.415536,130.224712,89.473757,87.449792
166.389632,165.074755,112.592235,175.035798,144.765044,65.214022,97.073365,166.644541,111.863995,89.360007,172.511042,120.344553,89.473125,87.450466
173.871395,172.901811,119.610100,166.221986,114.702749,47.219594,94.833343,163.922182,85.061836,90.587144,159.949836,92.629966,89.473844,87.449749
157.170884,167.412495,112.185998,119.949906,116.435043,39.911596,95.712635,157.977686,72.187373,94.691483,152.096473,73.917750,89.473636,87.450005
168.910318,167.922776,117.933708,80.462873,112.558339,51.706493,98.660465,155.682039,70.726756,96.764256,146.765843,80.315921,89.473617,87.449871
179.557949,168.678117,126.469640,53.230255,113.777548,62.339924,99.744168,152.927412,70.577549,99.044108,143.123623,83.156174,89.473708,87.449910
160.793485,165.041303,123.166379,62.996909,116.946337,68.358229,100.004961,151.175758,69.462732,101.141902,135.666615,82.070912,89.473308,87.450104
154.046365,163.513268,119.874946,67.033259,118.009154,70.835442,100.105869,150.469614,68.941342,101.991752,132.628686,81.740536,89.473415,87.449849
163.146122,150.082718,120.082588,64.234776,121.190558,71.491139,101.638987,141.538604,68.831639,104.279642,131.433668,72.643442,89.473570,87.449799
166.296556,145.463193,121.065872,63.092639,122.318755,71.756161,102.265684,137.906747,68.811848,105.204495,130.949047,69.211703,89.473516,87.450201
161.588852,148.458960,120.389732,55.874690,124.284821,63.965438,106.225316,129.910067,67.606466,110.345144,118.470938,71.289625,89.473566,87.450466
161.198926,150.808718,121.217963,58.118061,136.413942,68.130424,106.847345,128.195029,70.587048,110.992699,115.101990,83.685392,89.473785,87.449948
174.130388,149.336697,129.793947,64.424135,140.044694,75.328163,108.611494,125.194974,68.189760,112.919932,103.472083,79.158909,89.474036,87.450016
174.141722,145.735166,134.947500,61.953593,140.731120,75.604312,110.432436,121.369746,67.686408,114.675415,96.158232,77.739090,89.473046,87.449391
172.179162,143.771243,135.721408,65.437443,144.417157,70.174056,115.605252,116.554184,68.400156,117.379790,85.536361,88.574709,89.474456,87.449981
170.197543,143.237209,136.030176,65.267503,147.500309,66.994377,117.565126,114.442745,68.724966,118.954168,81.259594,92.786959,89.474466,87.450457
160.502632,145.013102,136.758906,68.948735,168.301706,68.438352,120.101251,110.187246,68.788937,123.727644,75.446459,87.543916,89.473691,87.450020
158.570732,142.240312,138.633943,71.852941,159.350808,75.041061,131.565545,100.336432,68.804855,135.327316,68.123968,93.549497,89.473384,87.450357
161.021450,140.729892,141.211576,71.122640,154.212265,75.647529,137.421144,95.570065,68.804231,139.713874,64.925836,97.397082,89.473333,87.449849
175.735276,140.294637,146.293829,76.460135,148.722318,71.339781,149.364942,83.067472,68.807397,142.085104,59.283326,121.122035,89.473403,87.449337
164.751274,140.269363,145.406122,75.226322,148.114666,79.104035,152.360000,73.949889,68.804480,143.340222,56.497515,128.624189,89.473766,87.449891
173.001310,139.693307,143.906506,75.699239,157.574175,81.626016,152.783135,71.424063,68.805568,144.635036,54.743586,129.934483,89.473178,87.450280
168.917491,140.668268,141.507760,63.895010,156.802872,73.459120,152.659132,71.601486,68.805817,144.102559,54.996636,130.170185,89.474065,87.450025
172.246431,139.976775,140.956897,68.651674,149.792050,80.447434,152.599005,69.825118,68.806798,144.430110,54.870062,130.214564,89.473777,87.450068
172.079351,139.632235,139.311376,70.310578,149.331722,82.669968,152.716005,68.675887,68.805347,142.778443,54.886166,130.222526,89.473708,87.449911
171.562697,139.310252,137.528424,70.617169,151.956826,82.972105,152.908075,68.242964,68.805067,140.854839,54.911261,130.224377,89.473387,87.449600
175.389208,140.697197,138.722817,65.914019,151.415364,78.829113,152.852575,70.023061,68.806566,141.021569,56.642749,130.483574,89.473642,87.450333
154.959819,139.510237,139.679775,67.752718,154.235919,78.982283,152.769841,71.052678,68.805004,139.227984,57.742339,130.276052,89.473926,87.449887
174.592875,142.775237,136.698659,63.913810,147.138851,81.217575,149.848222,78.382519,68.804368,143.465582,66.361387,130.233793,89.473556,87.450316
170.621133,144.534552,137.202751,60.479924,143.993394,70.301888,146.969437,86.422340,77.961845,138.931079,70.585662,130.298920,89.473876,87.449935
162.196272,145.830779,135.921492,62.153135,142.359016,62.622490,139.423125,93.773967,85.140012,132.100345,78.631611,130.339493,89.474029,87.449767
175.233307,141.688751,133.637406,62.251164,157.381698,64.353312,130.425290,100.151454,82.386458,128.924566,83.438438,130.314743,89.473316,87.450246
155.186267,143.998778,130.081616,64.024571,153.779934,69.834753,116.421649,114.907485,88.252763,127.692834,92.943702,98.645116,89.473726,87.449689
174.315685,146.342001,138.433176,58.959239,144.028222,70.394826,109.125902,121.096713,84.343492,122.153672,104.703033,71.577012,89.473476,87.449405
174.602911,148.164220,138.861028,53.099172,140.750864,72.677618,102.701412,125.854447,89.011740,117.892751,113.107562,96.253255,89.473624,87.450627
174.209939,145.512633,137.193151,48.148285,138.456475,58.214436,98.930162,129.466279,84.902430,114.490264,123.444525,101.137657,89.472948,87.449639
175.459123,146.299929,132.869420,37.743820,140.231957,56.516359,96.362530,130.527183,83.162262,112.228581,127.796200,101.684256,89.472804,87.448963
175.833649,147.782349,132.979302,36.162552,140.988055,62.338383,96.204327,131.631881,82.630514,110.256437,126.398491,95.249734,89.473914,87.450892
169.615742,147.400123,132.082089,40.274025,141.919987,65.713193,95.621028,132.200628,82.740033,108.969571,126.638929,96.912401,89.473826,87.449796
163.139548,145.282708,139.555001,40.482776,141.250471,73.356247,92.562351,144.646289,91.621291,102.796797,135.740684,109.840246,89.473529,87.449716
160.491707,143.666724,143.923430,40.847986,141.384747,77.482670,91.438736,148.741672,94.918631,99.345107,141.126559,112.015604,89.474035,87.450271
167.140942,144.400502,143.937815,38.938069,136.167653,79.758359,91.761831,149.606012,96.948435,98.388721,143.857750,114.779145,89.474150,87.450416
166.947085,145.894719,145.497862,38.963114,133.239056,80.886234,91.570510,149.684438,97.257789,97.145717,144.871944,117.856420,89.473806,87.450277
164.288878,148.266105,142.060929,36.679301,133.040246,83.354088,90.361420,150.413274,95.102269,95.307566,146.346108,119.109790,89.473633,87.450374
155.040565,145.997082,137.059348,43.427490,132.906011,82.362985,91.252442,146.532262,77.269423,91.561485,143.841199,104.069919,89.473989,87.449982
153.616019,145.366417,134.376834,43.374412,129.153774,66.933740,89.915376,147.188915,75.327795,90.635283,150.380139,85.873703,89.474016,87.449625
154.951601,146.496539,134.770157,45.113847,126.389603,59.560793,88.134905,147.702163,75.630319,89.924532,152.409109,83.817242,89.473269,87.449976
156.768828,148.820785,134.640949,47.391188,124.861364,59.301015,86.503493,148.533323,77.655770,89.507322,156.100430,81.428060,89.473997,87.449933
153.587980,151.419305,127.314152,46.122918,124.009386,67.491395,84.743248,147.450694,78.069704,89.332784,152.216273,76.981227,89.473392,87.449869
152.796559,152.535183,127.732905,45.115802,124.119040,72.087213,84.068870,146.546786,78.148520,89.452198,150.498893,75.862230,89.473659,87.449805
