neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
148.158710,167.670893,117.603047,175.014184,129.988996,168.406532,102.930426,170.075200,131.913464,86.902447,178.125422,130.067948,89.462305,87.461914
159.101361,165.781082,124.559162,175.013575,121.424470,168.405517,95.475122,176.161478,131.914910,90.289305,162.336161,130.985443,89.462439,87.461401
151.543491,165.005966,127.652319,175.015135,120.048506,168.406343,92.461106,172.337135,131.916914,91.611609,155.834635,130.390185,89.462561,87.461348
149.736363,169.890848,113.577416,174.488473,95.804458,76.287625,94.334167,164.208312,105.164344,91.893825,148.559770,130.884896,89.462352,87.461282
173.272386,169.882151,123.603410,161.213777,105.829115,39.105923,96.638951,159.171413,95.538611,94.732301,147.710661,131.259511,89.462328,87.461068
176.906616,169.634440,126.495404,154.984996,110.053807,34.515131,97.526019,157.114885,91.934190,95.873276,147.367106,131.361321,89.462367,87.461521
168.708487,168.675427,123.400391,143.368282,116.663246,37.864034,98.281167,154.824903,90.129581,98.888646,143.733996,130.392055,89.462401,87.461527
164.757856,165.004398,121.547988,132.846937,121.803842,41.936700,99.860558,148.498591,88.253509,102.081794,137.788464,128.832506,89.461690,87.461668
158.852338,157.239967,116.918738,123.209704,120.308436,47.729129,103.288915,140.107349,78.871280,105.941969,128.652247,130.362994,89.461955,87.461450
154.568492,154.389612,114.185854,111.340021,119.665676,59.898298,104.489527,136.347160,79.438007,108.373515,125.116365,117.551147,89.462002,87.461304
162.438321,144.861814,119.494946,98.748805,123.193253,72.689500,108.243457,128.113098,80.522846,112.276628,114.920672,104.953779,89.462436,87.461791
175.226334,146.512119,126.605780,72.761917,137.825076,80.208296,112.833283,112.199898,87.620271,117.165130,108.820618,99.013596,89.462457,87.461868
175.085791,138.661702,129.690534,60.953761,154.770374,78.574899,107.060402,99.216761,94.609283,124.056576,98.365953,87.089666,89.462499,87.461403
174.111535,137.464277,134.809036,62.363552,158.314248,85.189071,95.341104,81.713445,116.822190,127.283226,82.594132,80.939521,89.462794,87.461854
170.617573,136.974369,136.946272,62.940849,159.971226,87.884176,90.755931,74.570739,125.274858,128.519243,76.162563,81.501101,89.462207,87.461071
174.311526,137.997018,132.753560,75.515903,150.769911,75.080180,90.021074,68.712478,130.704789,127.441785,70.775122,87.458839,89.461836,87.461464
177.787794,144.570000,170.354463,66.019470,149.211737,69.458514,94.279654,59.801669,131.689697,127.190136,62.503369,73.715628,89.462551,87.460772
169.042334,145.063046,168.484014,58.384579,150.093199,76.811268,94.715162,55.432293,131.872780,126.617507,55.615185,80.482356,89.462992,87.461487
153.334390,144.937401,164.910139,56.584084,153.089924,79.309011,95.154482,51.987740,131.909640,127.418888,52.164142,81.073870,89.461545,87.461368
153.001260,144.492587,166.094808,55.314085,154.553540,67.825820,95.503269,48.728325,131.913347,125.044285,48.311768,84.999010,89.462576,87.461056
155.651688,143.947378,173.691652,58.594070,172.137749,61.262430,95.157923,47.080713,131.916236,122.588136,45.008522,81.597847,89.461766,87.460998
150.932905,140.567824,167.385075,59.691787,167.315785,55.838515,96.487844,46.778193,131.912511,118.205039,46.244758,78.335960,89.461744,87.461319
152.562126,144.024060,154.897767,46.894274,151.964274,47.635740,98.809350,47.212385,131.918113,123.203907,48.644332,80.482755,89.462150,87.461429
151.883923,145.856298,162.646259,59.118767,153.298422,52.916330,99.347063,50.361961,131.021114,127.505875,54.582673,73.845969,89.461831,87.461079
163.008548,147.686954,163.181908,55.931276,151.651285,62.994506,97.237513,54.864028,124.248379,129.091837,59.627817,71.338834,89.462417,87.461525
166.963011,150.919238,159.697136,52.262405,150.843041,70.301077,96.580233,61.454014,92.067280,129.158748,63.860054,72.454271,89.462579,87.461744
178.267931,151.654086,162.726029,48.251051,149.273960,71.603318,97.807859,71.809889,80.642760,129.179815,72.179222,71.720078,89.462375,87.461308
157.321551,153.950599,160.118897,50.209178,151.529931,75.954574,96.533151,78.181899,82.288572,126.836200,78.085536,84.269893,89.462871,87.461637
173.799041,150.814024,159.419060,41.940760,147.671423,71.162230,96.321322,86.052741,81.535076,125.578721,86.066283,71.316780,89.462639,87.461693
172.345638,148.668264,135.372133,53.644587,148.844757,76.793127,94.190674,93.415558,78.734182,123.681860,93.578093,75.567095,89.462525,87.460916
174.930961,144.511854,131.761898,48.503744,150.598957,77.587668,93.029344,99.920932,74.240775,122.484350,98.571011,79.567206,89.462044,87.460624
170.700614,140.831179,141.601000,48.175960,150.007429,83.900324,91.435555,108.206610,78.647434,121.311016,102.721557,81.652712,89.463015,87.462355
167.615921,141.430243,140.347562,51.010113,151.331669,92.853523,91.075766,111.212394,81.924275,120.325309,105.033780,89.314875,89.462613,87.461608
175.878560,141.892967,134.139696,52.511979,144.353528,78.494724,87.146669,112.088943,73.290763,116.725360,110.925145,93.460114,89.462250,87.462550
179.059853,141.889294,131.465405,53.119563,140.016484,72.777477,85.523326,112.444504,71.236908,115.528018,113.322253,95.276150,89.462242,87.461859
172.874230,147.710023,126.955886,56.567424,143.316617,81.572945,86.574952,129.302440,72.210345,109.517160,119.902276,105.570293,89.463163,87.462463
169.705503,147.750010,127.216782,55.845419,146.392924,84.864735,88.128832,138.640043,72.635449,108.471443,123.919185,116.346453,89.462823,87.461158
167.244614,151.388835,122.229302,58.902200,146.213800,84.107592,88.659134,143.025649,71.830196,105.130616,127.152352,127.821659,89.462967,87.462497
164.780799,150.157724,124.137205,57.039769,143.976394,79.877310,88.839585,146.905947,71.727404,101.974634,130.927060,126.908366,89.461781,87.460826
161.567392,151.006925,124.997405,54.002637,137.966585,74.265374,89.010651,148.254907,70.846178,100.601340,133.450046,120.346345,89.462078,87.461358
160.143311,151.342477,125.349457,52.780984,135.324218,72.011911,89.067080,148.803187,70.517635,100.044858,134.475512,117.616669,89.461972,87.461808
154.867279,154.987149,116.326679,58.014310,134.112745,64.978774,83.135574,146.106252,76.419853,92.992539,142.660748,99.201873,89.462039,87.461158
156.548500,153.361681,118.303796,56.892643,131.649477,72.440534,86.830582,147.177065,73.431112,90.474670,144.705318,89.838782,89.461955,87.461712
167.675966,153.772943,118.025044,52.007952,133.194066,66.133901,85.783672,148.244350,77.183032,89.599181,148.642304,91.048373,89.462050,87.461449
161.725361,152.425810,112.053935,51.532469,133.359337,69.729195,86.206805,147.633935,77.977467,88.936243,150.671897,82.532168,89.462257,87.461414
154.433119,151.564635,111.155599,56.428499,128.227737,69.829402,86.563363,149.364675,78.131722,88.933869,154.359930,83.016388,89.462724,87.461570
153.053975,151.359886,110.269921,59.330927,126.909104,70.355863,86.851032,150.855400,78.160132,89.080079,156.317045,83.170695,89.461790,87.461543
152.867393,150.977994,113.252736,61.025215,126.003246,70.837839,87.159962,151.624519,78.164995,88.966574,157.400858,82.115086,89.462655,87.461713
