neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
146.030407,165.884764,135.102452,175.022246,159.215621,168.406462,95.968589,170.854603,131.914984,87.690446,173.413645,130.224268,89.445018,87.478395
146.031666,174.745328,127.586638,81.729737,109.477158,55.714797,94.232272,175.984949,108.427969,88.324344,161.124934,111.391541,89.445028,87.479109
150.837865,167.369465,125.060404,45.107041,109.602026,44.189041,92.511882,171.538043,84.758942,91.040304,156.581539,86.794287,89.445638,87.478780
149.518559,159.272927,128.088313,56.076732,107.907548,50.925982,90.785962,166.615196,77.569235,93.470243,161.906266,78.902172,89.445205,87.479143
148.470093,159.279078,125.336194,66.576753,110.890347,50.102044,90.886918,161.007886,77.756842,95.546366,158.332420,75.400688,89.444941,87.478516
147.514482,162.584537,120.788612,70.959651,114.796668,58.131216,91.450949,157.658727,78.082185,97.588278,153.265160,80.861841,89.445444,87.479187
155.165156,166.112368,116.110960,76.403428,116.974888,58.007689,92.727669,149.697479,72.888721,100.953904,147.277212,83.974697,89.445431,87.478839
165.822321,165.592905,115.199134,81.093531,116.331657,66.062280,93.510098,146.255338,71.625268,102.783623,146.490737,86.632649,89.445121,87.478907
173.943465,153.915468,132.503195,76.901085,116.548620,62.591572,95.075373,143.785997,72.939374,102.881482,147.658643,86.489374,89.445352,87.478665
176.257416,151.629103,128.425486,71.472317,122.700003,96.674005,96.887362,138.060936,77.412924,103.433311,144.166437,94.181582,89.445678,87.479593
170.881732,156.634540,130.038990,73.459410,162.994717,64.235161,100.797740,127.617869,80.503425,106.099030,135.457986,103.924331,89.445323,87.479108
174.913482,151.865782,138.021442,69.463836,172.369630,65.112721,100.595838,120.439059,81.844209,108.353810,127.628173,99.551092,89.445165,87.478384
166.544116,143.448437,132.596118,68.360838,143.912223,72.813008,96.973813,111.739833,75.260868,112.150663,119.708051,104.206539,89.445120,87.479049
166.669169,136.848945,130.475430,66.263274,144.755575,87.917790,95.292757,102.908594,79.644152,116.543645,106.110315,105.763197,89.445358,87.478721
156.407747,136.096213,133.834193,72.140945,169.515068,88.364765,95.077855,93.931897,83.348802,121.945845,96.711077,116.554231,89.445008,87.479101
151.960840,142.487753,142.796018,69.087837,148.778486,114.290849,102.093939,86.423127,94.393785,116.332568,92.819532,122.724938,89.445616,87.478226
152.354002,143.386396,146.979444,63.760174,158.532768,114.773973,103.695062,81.374153,94.983778,116.176226,92.390049,121.808398,89.445705,87.480509
152.791129,143.229326,144.555329,62.392527,148.256910,144.538139,101.700078,79.290972,103.165348,117.731355,88.763005,128.089285,89.445396,87.479414
152.737549,141.763984,163.945776,58.337441,172.327635,110.021883,103.843162,73.974563,121.067974,123.027627,86.324291,110.972609,89.443641,87.477638
152.609192,140.747595,166.604040,67.369514,167.339950,100.628305,105.214702,67.989425,117.466960,119.148881,80.457326,95.905406,89.445592,87.477183
152.146163,140.510049,160.847129,63.771131,167.120712,84.434799,109.864688,63.472602,127.877972,115.380942,75.988879,89.243474,89.444787,87.477435
169.093324,141.093965,159.120207,65.454490,168.611389,111.023679,111.427975,58.977578,131.174321,113.319805,73.112099,92.938800,89.446003,87.478797
169.209202,143.589416,152.998331,52.531771,171.520630,106.275766,117.634609,56.876177,131.777749,116.674415,66.715317,80.793786,89.445877,87.477787
164.121228,152.249388,153.101698,50.374947,178.512660,84.910058,118.165522,54.546143,131.888060,119.361279,64.099760,76.984639,89.444174,87.478058
162.284351,155.293726,147.617122,49.021049,178.009848,76.732793,118.010959,53.498101,131.910634,120.361922,62.896019,76.216644,89.445072,87.477490
160.043778,156.485584,148.528198,48.980572,174.321029,73.889721,117.524559,52.306611,131.913880,118.634416,61.017692,74.515081,89.447760,87.480413
157.719203,156.700382,149.604407,48.752727,171.052636,68.585693,116.986147,51.655295,131.915586,117.741876,60.262310,72.605496,89.444085,87.477237
156.514512,154.615161,143.657181,48.324110,165.666113,59.567515,116.737912,50.920106,131.913218,117.523729,59.798610,69.713105,89.447568,87.480698
159.667536,152.550926,143.091156,48.694130,160.273036,48.575225,116.313839,48.336844,131.915883,117.843212,59.912463,67.837355,89.443728,87.477500
162.873204,152.707898,149.970746,49.507644,161.189008,54.602617,116.748727,47.016977,131.917871,116.029349,57.156810,69.687351,89.447190,87.478933
166.645230,153.471563,152.214928,53.652970,163.971574,51.648255,113.560088,46.768551,131.916237,118.584081,53.864499,69.097640,89.447273,87.480274
166.205017,154.575447,156.459866,56.898614,164.635597,51.613733,112.922673,46.722179,131.915765,119.674394,54.040163,76.885879,89.444145,87.476555
166.497686,154.138570,160.519959,56.463282,167.799998,55.657770,112.688624,51.375423,131.917985,121.467045,60.060935,84.583064,89.446422,87.480015
154.350428,149.910607,148.848710,43.773529,158.993725,60.703860,116.965334,53.324751,131.916053,129.719809,62.581715,79.189697,89.445086,87.480619
167.924641,151.912836,150.306941,45.193420,156.734444,62.467380,118.330432,58.507724,131.911401,126.632629,64.602029,78.759927,89.444987,87.480978
154.936021,153.541219,150.888116,39.866508,159.463657,77.033681,118.601705,59.795454,131.912103,123.885993,67.660416,68.619950,89.446487,87.480006
153.150478,150.025266,150.983136,39.264327,157.458397,78.476349,119.855953,66.496195,131.914966,118.107273,76.657236,69.636982,89.443959,87.479072
155.236156,151.210087,150.801967,33.299924,159.152930,81.458100,114.537959,69.410244,131.916316,117.040934,85.189366,68.145940,89.445638,87.478846
152.824781,152.760497,147.132625,32.645169,159.105993,83.294653,110.300684,74.044002,132.154148,117.406285,90.937408,72.511030,89.445638,87.478858
153.400217,153.110191,149.051296,38.644470,153.242624,80.185234,111.299776,78.269043,131.583696,115.557226,96.995023,82.139827,89.446180,87.479841
152.102659,146.674139,139.011509,48.054038,132.716986,67.010899,108.274409,82.899906,131.854751,114.086306,102.650776,83.444744,89.444272,87.478363
152.305812,141.096377,133.290827,61.226277,125.288807,65.236954,105.132556,91.342588,131.901693,115.163841,106.219053,79.812419,89.445756,87.480424
153.742338,151.104128,129.646553,64.299674,135.878420,113.367125,104.162466,109.159692,131.913361,116.085215,120.031187,85.940297,89.445934,87.479433
168.307588,151.526551,125.983746,60.911084,136.407922,56.755174,103.028826,116.442212,119.722157,114.187083,130.542284,82.049442,89.445232,87.478846
163.626094,147.610781,126.827877,56.404345,119.998916,54.517426,97.201815,119.966370,114.898183,111.462254,135.937236,89.600807,89.444882,87.478189
169.529121,147.117237,127.623810,46.503470,136.592008,58.596008,94.092658,127.007223,78.322210,108.179607,140.171595,111.812613,89.445508,87.479083
175.931883,150.497634,132.377904,45.641843,139.757350,52.577303,90.563011,139.685599,71.579085,104.102245,142.375435,124.072100,89.444817,87.478514
174.163166,150.435668,134.698021,42.118782,121.132131,50.530113,89.213731,144.176367,73.699255,102.703480,142.125108,125.434782,89.445546,87.478899
174.022277,149.929216,139.265941,39.610427,121.892005,41.694512,88.717961,147.687589,76.137333,101.885809,142.566877,116.810924,89.445357,87.478863
179.497109,149.264520,139.958723,41.392308,124.356307,38.556079,88.478936,148.548608,73.597346,101.384818,143.064902,111.953617,89.444930,87.478617
174.774393,148.765735,139.297320,46.792582,120.272872,41.523052,87.936923,148.879373,75.959653,100.170739,146.605550,104.021915,89.444913,87.478686
176.574531,151.002191,142.373696,47.510125,118.400329,41.586387,86.420926,148.033937,76.411984,98.442413,150.290031,99.564673,89.444758,87.478616
163.395565,155.419002,141.927822,41.190163,115.707848,44.565108,84.420831,152.084975,77.676578,97.033353,152.423341,87.905405,89.445077,87.479261
166.189263,158.423218,146.814569,41.161477,111.795867,45.379846,85.146772,152.915302,78.066538,95.053990,153.802039,84.234052,89.445193,87.478549
167.494995,159.467752,148.608986,41.196191,110.418213,45.457274,85.401966,153.068796,78.147913,94.090730,154.690513,82.823840,89.444769,87.479095
166.451640,155.222468,141.747385,48.531546,111.960736,47.719462,86.041105,149.813892,78.014312,92.200293,157.600621,71.697506,89.445647,87.478589
169.150171,154.945951,140.104060,43.592629,116.839086,55.637748,86.840721,150.451276,78.137616,90.900385,160.492686,71.603031,89.445254,87.478409
167.300204,156.917990,137.084214,42.553453,118.985247,60.936763,87.762124,151.757220,77.868769,90.050735,162.047910,71.989299,89.444574,87.478912
168.785635,158.149115,136.444139,42.216213,118.627292,60.820307,88.252337,152.679066,77.370761,89.622607,162.731582,72.177216,89.445668,87.478771
