neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
150.352380,152.521906,105.552101,114.076793,118.288499,168.405313,98.883677,167.376459,131.918970,99.471565,169.343010,129.437607,89.652287,87.271460
175.831240,152.147774,117.499271,54.696787,108.319455,95.385471,95.354995,176.549030,121.450365,89.142339,159.618393,126.889197,89.652024,87.271847
172.193438,154.573646,116.451371,38.617747,102.051582,68.697866,90.976262,168.885817,84.727711,87.010673,149.308076,86.148502,89.652533,87.271225
171.474351,153.955704,116.867002,33.106108,100.908188,61.568657,89.928083,162.763096,76.764313,87.362991,143.380343,70.475802,89.652689,87.271207
170.156656,149.130169,117.721643,33.993359,126.096989,71.773957,91.697801,164.640313,74.017549,88.841655,141.964315,67.478804,89.652373,87.271523
176.780143,151.639633,117.396012,38.571840,143.885253,83.398722,94.174160,158.534391,68.832206,91.915287,139.625389,66.989113,89.652100,87.271732
170.770670,156.751197,120.440632,44.692317,145.946840,107.128822,98.494690,148.206346,67.623368,99.146253,131.099665,66.611538,89.652585,87.271383
170.772792,162.962028,120.310246,56.170356,149.406875,71.953061,102.555948,138.091401,68.130823,103.226982,126.296791,66.682759,89.652242,87.271356
171.902926,169.182423,117.057078,57.856654,160.948199,79.678909,104.265265,135.749604,68.620587,105.355063,124.429815,66.704314,89.652596,87.271365
173.836312,169.277557,124.900921,55.918270,168.345279,83.418251,105.506315,129.907240,68.770949,107.346928,126.289046,66.708729,89.652987,87.271574
164.331105,164.977106,128.459552,53.464876,154.670507,87.656697,104.489526,126.055131,68.798226,109.238284,122.808539,66.710777,89.652411,87.271596
178.493305,163.767481,126.661585,44.616946,166.629952,84.754851,102.842268,123.169923,67.692828,111.678764,118.362757,66.586978,89.652197,87.271120
163.209192,156.321549,126.832156,37.803999,127.396274,104.096483,107.410031,114.728090,68.502339,116.575073,112.310116,66.663442,89.652630,87.271557
159.853611,154.106313,135.633356,37.499508,125.417440,89.040097,109.763275,111.929975,68.745095,121.907671,110.016028,66.683778,89.652444,87.271245
161.086315,143.933999,132.946113,39.887503,139.211366,115.778952,108.113805,103.236888,68.156573,128.241250,97.515221,66.652723,89.652690,87.271287
165.783927,136.893301,134.903261,44.694007,146.144063,111.781725,102.856257,93.263370,68.191623,130.205646,86.753190,68.802118,89.652549,87.271773
156.702301,144.359227,138.508646,53.102132,141.822141,116.341163,97.625591,82.665681,68.823781,129.635083,79.226638,69.002163,89.652796,87.271304
164.228774,134.640306,130.524475,46.828640,172.405189,119.059876,97.227800,70.085811,70.850096,125.751490,67.418326,68.010393,89.652720,87.271535
167.836952,146.305692,121.962917,34.996998,162.682325,151.025455,98.070054,61.138094,70.512254,123.955222,59.275576,66.890817,89.653211,87.271763
165.848575,147.858320,116.092014,32.514783,174.370113,143.737956,98.324288,56.733042,70.760952,122.172756,54.570647,66.778852,89.652393,87.271468
169.224826,146.339741,122.985081,43.915578,153.474016,113.939645,97.851306,52.409909,69.988709,120.247231,49.486609,66.626519,89.652503,87.270872
