neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
153.016932,165.129643,133.221577,175.069328,136.983082,37.173493,100.523681,176.891072,127.572990,90.101119,173.993723,131.268627,89.496446,87.426935
165.186442,172.221944,117.688159,116.830675,122.789097,45.646378,93.682236,176.039544,86.571866,90.954025,175.787165,96.956215,89.496478,87.427095
168.896672,170.250207,112.915471,88.961159,130.852476,83.347136,91.091188,170.694109,73.914885,92.039361,167.728716,76.605739,89.496732,87.426752
168.699325,164.054284,113.017522,74.761559,133.293736,95.400606,89.841118,168.322563,70.755078,93.683916,162.423628,71.558888,89.496340,87.426905
167.686761,158.331925,116.525811,69.187139,135.058514,97.280450,89.748524,167.702518,69.821810,94.579122,159.885686,70.005036,89.496956,87.426905
167.143097,156.929928,118.077648,66.138214,133.269571,93.967101,89.369773,161.533459,69.031771,97.091623,158.061004,68.505460,89.497131,87.426546
164.050417,155.761378,122.755439,67.607638,133.500356,90.436138,89.997714,156.013572,68.336532,98.660026,154.420644,66.913993,89.496725,87.426886
164.289271,155.964984,122.607394,70.224137,132.580086,84.585299,90.554348,152.158933,68.425482,100.948252,148.784769,66.643309,89.496469,87.426811
171.019558,159.272046,115.028659,74.442480,131.670851,83.794948,91.759755,140.324660,68.202428,105.090307,138.065346,66.678177,89.496735,87.426909
158.584152,150.975339,121.695279,75.098679,130.262006,65.810178,93.246607,131.827230,67.605776,107.685807,133.238689,66.597829,89.496574,87.426966
169.028781,153.015959,125.794306,79.765193,129.048765,69.292282,97.557341,126.255615,67.779982,111.525102,122.567257,66.645936,89.496448,87.426648
173.367682,153.109429,130.175727,84.853267,135.011982,54.141752,99.739046,122.117750,67.605748,108.880272,117.325796,66.780844,89.496226,87.426352
174.752905,151.392852,132.691120,84.265331,135.225534,54.606278,101.088517,115.699900,67.616268,108.764695,111.001200,66.673974,89.496688,87.426879
168.088867,140.840130,134.247132,77.424586,138.605276,54.309924,100.554376,106.570752,67.604498,112.241010,103.949432,66.983638,89.497303,87.427173
170.923955,133.303291,135.166650,84.768236,146.352648,131.990900,95.969440,86.646070,74.221931,112.440225,92.388579,68.885427,89.497239,87.427784
156.302510,137.517315,135.916637,95.494432,132.369652,77.083627,93.807216,71.639738,71.741033,115.772427,82.849977,68.975026,89.496418,87.426496
150.197767,138.872192,136.103493,99.851039,131.741368,55.922156,92.945015,65.531253,70.888305,117.105892,78.962025,69.016549,89.496509,87.427036
173.212694,136.262454,132.745044,86.204235,149.201735,64.439711,92.449911,60.844508,72.624916,118.211653,72.408380,68.851651,89.496891,87.427417
172.050133,139.389894,127.138645,88.198247,151.679824,71.927865,91.632527,58.994345,71.798461,118.049667,68.799722,67.941235,89.496600,87.426646
167.340956,141.590522,126.975017,86.604829,155.007379,77.838846,91.971585,53.579083,70.149746,117.864296,61.485226,68.124904,89.496522,87.426406
171.711867,143.259092,126.620378,79.940362,158.009952,83.169429,90.872820,48.706418,69.575989,117.869069,55.694592,66.700620,89.496276,87.427046
168.213249,143.656078,126.619657,73.192100,159.798748,83.455328,90.353262,47.076931,69.524602,117.587551,53.056499,66.587646,89.496424,87.426818
170.920013,147.674448,136.500453,72.523329,156.648434,74.851470,90.906761,46.778660,71.381586,122.590918,54.556428,66.671896,89.496925,87.426825
173.525138,148.410975,135.901620,66.799686,156.519982,71.555818,93.692865,46.723088,71.146422,123.716249,51.790461,66.726439,89.496898,87.426360
178.030808,145.099622,130.073078,65.750541,150.850270,62.161379,97.972855,46.713672,73.091691,118.411144,52.995869,66.714642,89.496856,87.427715
171.432971,145.862697,133.242293,66.940670,149.727282,60.261928,97.310871,46.711089,75.168963,116.770306,52.549585,66.711391,89.496370,87.426507
176.367565,146.800545,135.421803,70.316918,147.638315,70.525416,98.310573,46.710271,70.880920,113.857277,51.975118,66.708897,89.496305,87.426608
174.643569,147.290283,138.372197,71.820005,150.153283,70.857315,98.273870,46.710348,69.046440,115.338396,52.245813,66.862188,89.496761,87.427385
178.861883,146.197102,136.827015,73.665880,150.454487,68.030292,97.119804,46.709746,68.157725,117.156515,54.970417,67.258664,89.496934,87.426867
177.488629,146.117144,139.016863,81.161046,152.550433,70.820052,95.763696,47.202126,68.686957,118.883714,57.396703,67.423955,89.496491,87.426855
165.856458,147.890794,142.028312,81.597279,153.927975,66.086644,95.202890,51.951243,71.703638,117.798877,62.923026,68.253807,89.497232,87.427365
166.511291,147.335600,144.926927,81.803874,152.310062,65.541411,96.726247,59.730197,71.430660,116.749596,70.729354,68.485649,89.496588,87.426904
165.359117,146.632451,143.208263,77.525414,147.729508,57.001163,97.239094,67.703937,75.466557,115.752447,80.197565,72.487274,89.496455,87.426696
173.217600,147.114073,134.746499,67.159080,143.557886,62.049811,95.374338,73.082182,80.348258,115.474402,90.922273,72.988225,89.496488,87.426995
165.635161,153.869872,129.259618,66.835706,138.355237,65.074354,95.176811,80.007927,83.713847,111.331690,98.995259,73.597803,89.496190,87.426834
178.877314,157.923778,127.242206,61.475242,135.249192,58.890140,95.904393,89.686175,79.187693,108.904336,105.861639,68.840901,89.496524,87.426450
172.712452,155.200088,130.402846,60.603818,127.123839,45.954477,96.031812,98.438544,75.841836,107.574608,111.718602,79.334223,89.496901,87.426219
170.776485,151.425230,133.981731,58.409852,128.298431,41.763031,93.413612,105.464559,77.510011,107.089265,118.881564,74.563502,89.497118,87.426715
176.891005,148.788180,141.115558,54.984888,113.717527,39.836669,94.408669,115.994106,68.398452,103.280302,122.554876,78.404526,89.496290,87.426694
170.181632,149.112440,145.527751,51.109934,113.831912,37.791672,93.764413,119.393673,75.849914,100.845547,125.222554,96.290536,89.495761,87.426121
166.382044,149.800944,144.182377,49.269850,110.283759,39.297099,92.617741,123.578755,71.946507,99.644598,126.518644,119.882582,89.496789,87.426697
169.369101,149.856610,142.708959,47.307419,105.878346,39.487287,92.079402,126.527686,69.786518,99.427412,127.543033,116.233528,89.496358,87.426365
164.195023,150.005524,146.228105,45.452332,106.527737,38.019138,89.783218,131.078849,76.003095,97.565243,129.140243,90.176521,89.496000,87.426438
162.690579,149.690154,149.550819,45.389986,107.458847,36.615617,88.778829,134.096980,77.744385,97.005299,130.404073,84.732305,89.497461,87.426757
154.747505,146.335952,149.651550,53.278817,121.032149,38.566177,87.552873,143.654020,71.949039,95.900379,141.146732,71.192666,89.496725,87.426923
155.701249,151.122048,148.864329,53.944957,124.383361,39.875346,87.490524,145.211395,71.960810,95.467912,144.115047,68.628728,89.496826,87.427143
152.673571,148.006874,149.772440,55.433499,123.545074,50.248666,87.357786,151.297029,71.409500,91.439277,154.093733,71.468551,89.495838,87.427190
154.002470,148.223892,147.434941,56.550502,124.818922,53.153167,86.946828,150.736054,71.759081,88.205582,160.975740,73.316088,89.497029,87.426941
158.008733,154.220847,141.553175,54.948784,123.608233,49.255356,85.302682,147.503104,76.774372,85.842077,166.607183,73.883626,89.497060,87.427276
162.956298,160.371984,144.240272,59.393571,116.516588,42.500243,88.094235,147.992132,73.112743,87.349014,162.405044,69.803812,89.497216,87.426510
174.698608,160.084705,141.921225,63.352176,109.463222,41.215576,90.050953,150.112379,71.990956,88.686907,164.510082,67.579816,89.497005,87.427159
171.792925,161.955609,136.039516,61.041419,111.253085,47.109268,89.478747,152.518797,71.899566,88.241549,165.279260,69.648077,89.496899,87.426767
