neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
149.545500,169.681087,128.061037,175.032107,141.128213,168.406012,97.099098,172.399295,115.295470,92.475443,178.329626,126.398606,89.457368,87.466580
148.396360,171.065813,120.759126,174.714766,144.665740,167.208143,96.548017,172.265992,116.923278,93.818340,178.142508,129.421618,89.457503,87.465768
171.921919,159.513940,126.442421,142.431829,97.365664,51.463319,94.961663,168.366119,85.010300,90.171481,171.075689,91.782138,89.457478,87.466349
161.872355,151.911282,130.715963,124.376788,101.151606,36.102480,92.027499,162.089124,75.543479,89.570614,161.443560,76.236216,89.457441,87.466537
157.984107,153.363559,136.857899,108.387826,109.964684,38.666515,90.830573,159.678316,73.012927,90.238285,158.062248,73.063916,89.457369,87.466376
156.301541,154.009877,137.531439,101.825915,113.662432,39.784142,90.346647,158.696691,72.268625,90.504384,156.688783,72.578937,89.457462,87.466323
155.778642,154.470736,137.873141,98.687369,115.418534,40.888495,90.102022,158.313116,72.025098,90.911053,156.509519,72.348865,89.457263,87.466475
155.381482,154.739727,138.030024,97.250873,116.174732,41.679261,89.960849,158.233602,71.983753,91.245161,156.550671,72.197750,89.457536,87.466873
153.356221,154.787048,137.207982,95.021989,117.075427,43.228708,89.421296,158.042167,72.607180,92.909081,157.817339,71.809034,89.457547,87.466298
169.666495,162.021335,134.353598,68.098423,112.359960,65.535236,91.601110,146.750340,69.471234,101.469762,150.501089,67.109606,89.457542,87.466446
177.847093,164.156198,131.750889,65.201392,117.684511,74.818717,92.651741,142.916436,68.928580,104.955696,146.324415,66.765676,89.457567,87.466217
177.338438,163.444572,129.324546,71.666430,122.381373,62.183693,92.554317,143.720849,69.462158,103.868815,141.208762,70.730902,89.457340,87.466210
163.550929,158.434906,130.253973,67.047263,122.360104,65.336618,94.858074,146.454746,68.631066,105.839460,135.757006,67.378985,89.457934,87.466702
171.793702,156.187700,132.252655,64.119117,136.519827,56.852101,97.151866,145.295551,67.616113,109.427486,129.728586,66.833012,89.457400,87.466031
169.488709,151.304552,134.360817,67.870177,138.804578,55.065643,98.594400,143.867974,67.645294,111.172430,127.966734,67.208639,89.457071,87.465937
164.539361,143.957865,140.026325,60.398908,137.582786,61.160510,105.458238,142.665328,68.474545,108.466208,129.437802,68.131826,89.457443,87.466320
168.336847,140.906496,142.252499,71.903646,137.244594,59.982338,109.335838,142.074693,68.738544,106.060603,129.677654,66.908358,89.457351,87.466051
168.316176,139.083539,141.718124,73.671108,137.533667,58.775167,113.981961,140.350573,68.795876,106.042692,129.649127,67.310436,89.457587,87.465916
153.554591,140.846801,138.809281,73.000577,144.911912,64.233114,116.923598,136.157405,68.804096,108.177510,127.827198,66.803316,89.457345,87.466119
