neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
148.040625,169.348514,117.338886,160.712253,143.723407,127.199405,97.613091,170.853211,132.252128,89.362112,173.900241,85.458216,89.451777,87.472392
159.943081,172.304456,118.531080,85.895690,116.873327,66.936571,95.920810,165.720918,132.161626,89.502380,173.075093,123.589531,89.452118,87.471869
155.874948,171.740856,119.444043,59.055441,112.162584,55.797090,94.021768,150.162869,123.952572,90.901427,156.282330,119.874884,89.452086,87.471962
176.568943,162.466859,127.277079,56.956080,116.239492,55.781216,92.936094,149.090060,130.548051,94.453184,150.758398,128.481593,89.452143,87.471902
173.779867,158.685525,130.574189,56.133792,117.771456,55.742164,92.405313,148.752684,131.661505,95.883618,148.509236,129.909254,89.452075,87.471799
159.950419,159.603895,131.150227,63.343889,117.881725,54.014938,92.547023,149.649597,131.865237,97.209658,148.112175,130.166877,89.452104,87.472238
161.733108,160.283336,130.357318,66.477147,117.852864,53.162660,92.688674,149.507727,131.906967,97.859773,147.983492,130.214357,89.452457,87.472119
160.222858,159.307146,124.667012,69.107869,117.721878,49.413103,92.556418,146.859202,131.913904,97.958195,147.072854,130.222649,89.452328,87.471889
170.050204,157.354341,133.597005,71.440406,118.935590,49.778978,92.884612,144.286265,131.912850,98.325599,144.410113,130.223702,89.452113,87.471817
169.777207,158.773857,137.148109,71.690279,121.274472,50.453748,93.971191,142.165150,131.917847,99.154648,143.153267,130.225230,89.452002,87.471989
175.572032,157.144584,137.534767,74.312451,116.789651,53.017985,95.421952,138.659605,131.915287,99.572623,142.174561,130.224789,89.452066,87.471975
177.991049,153.556294,137.992802,68.593520,123.819369,49.766236,96.288545,139.751345,131.916692,101.242690,143.115000,106.693763,89.451790,87.471922
158.450476,150.893713,137.486983,68.033489,122.426502,48.638108,96.849418,138.598463,120.560104,102.547220,140.159494,92.711062,89.452060,87.472200
161.295503,147.914348,132.844593,65.251930,123.737693,44.199181,98.182031,136.227434,112.821890,104.668171,140.422085,80.553707,89.452123,87.472270
161.531740,144.869062,133.337880,62.281296,130.047455,46.675545,100.520697,131.767798,82.551329,106.416013,143.569093,75.815121,89.452173,87.472112
169.084976,144.983844,139.033003,64.371578,137.171158,63.210235,104.832120,127.790124,69.077849,109.869440,134.243642,69.093820,89.451785,87.471787
164.930839,141.745030,137.883068,75.541046,131.423064,56.130752,106.995751,129.786433,68.505972,111.430357,131.882399,77.182622,89.452037,87.472150
165.158150,139.852232,139.756711,59.965471,134.471816,63.585738,107.750771,131.305495,67.842989,113.638845,129.587534,79.480742,89.452151,87.472188
153.296742,140.955792,137.743954,62.278882,137.729667,62.995896,110.145686,130.810199,68.173448,116.644859,117.768189,71.666496,89.451921,87.471795
160.329858,139.679538,139.267181,58.790690,144.496014,59.053635,111.169302,130.340453,68.567007,118.779502,111.640977,69.633031,89.451965,87.471845
159.053412,140.806884,139.159807,69.684283,145.929843,63.085463,111.966436,129.208070,68.435891,120.034369,106.752690,76.352289,89.452154,87.472045
152.330531,140.856686,139.082056,73.438142,145.139915,64.714162,112.345164,128.672358,68.403075,120.704525,104.342331,81.620725,89.452453,87.472127
165.388953,140.949936,136.299063,63.324706,142.656651,63.241331,117.183022,122.136610,68.725065,126.236372,96.974371,78.303180,89.451808,87.471964
160.986059,141.394417,131.786620,66.374289,150.499791,71.914886,122.624415,111.037580,68.789101,132.620230,85.455383,77.316362,89.452118,87.472184
164.454148,139.869744,138.987789,73.881749,147.158365,76.524670,130.158715,104.515773,68.805128,136.232302,77.685479,71.012468,89.451989,87.471746
165.741096,139.643102,142.378244,74.776039,146.236760,76.825609,138.075658,100.152133,68.806419,138.842997,71.837228,70.588293,89.451859,87.471245
166.112210,139.579304,142.710224,73.405890,145.342103,77.032953,147.270475,94.166535,68.806244,141.706270,65.274209,70.183010,89.452411,87.472302
167.256152,139.400421,140.311006,70.677507,144.358212,74.941686,152.394491,78.800219,68.807431,147.801347,54.362851,69.150352,89.452356,87.471531
162.799236,139.608248,138.431815,71.355105,146.979850,76.459104,152.965695,69.014433,68.806102,149.190287,49.790050,66.597671,89.452103,87.471624
171.472281,139.687556,138.411978,70.754212,146.550099,75.423481,152.910221,63.669179,68.805485,148.358836,47.781412,66.591163,89.452240,87.472007
169.588845,139.528785,138.970240,70.304126,146.290188,72.370378,152.799623,59.914597,68.805476,147.754577,46.173149,66.598327,89.452065,87.471141
