neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
146.072932,169.502346,122.878449,175.056683,154.001785,168.405374,106.670591,174.979775,131.915634,94.366231,177.336807,131.279463,89.442351,87.481425
165.436753,175.079121,113.036388,137.067920,121.977588,63.284279,99.048837,176.806860,125.543093,89.565335,145.597910,91.553035,89.442175,87.482003
162.239977,170.461912,116.004025,118.745486,112.514995,37.875683,96.585507,174.217617,85.773157,89.989178,151.566419,75.054320,89.442277,87.481906
163.190803,166.002973,118.162611,102.249758,116.267273,35.025291,96.219542,172.754397,78.275894,91.369407,158.495853,69.308495,89.442125,87.482079
157.217873,164.322997,119.005781,95.477184,117.986629,33.950827,96.055657,172.137807,76.789514,91.832367,161.296084,67.891347,89.442192,87.482032
154.389983,163.542659,119.497995,92.218905,118.899066,33.821198,95.970895,171.644889,76.395862,92.022353,162.345627,67.581863,89.442322,87.481906
166.659901,161.078926,125.598438,57.382594,116.344051,42.683130,95.174029,172.803496,77.578974,93.593123,159.578683,67.524673,89.442336,87.481940
160.588009,160.000581,128.219811,61.124115,119.057580,46.615168,95.454185,171.243691,77.751805,94.520120,157.385315,70.873514,89.442207,87.481954
168.697237,162.428404,132.350865,63.242695,121.301125,52.653549,96.485976,171.244178,76.852257,95.198695,155.494371,68.742549,89.442177,87.482061
174.310102,155.856855,127.749384,64.678156,125.003427,60.526502,96.460845,169.672441,76.213182,96.117645,155.125494,69.721832,89.442179,87.481949
176.437643,153.164224,125.748822,65.177101,125.899926,63.739885,96.461856,168.932103,75.836068,96.499996,155.050101,70.155996,89.442213,87.481936
168.117502,156.160996,141.064570,64.592222,132.867015,52.628174,97.653940,163.939606,76.556760,96.168024,154.266673,75.524621,89.442215,87.482283
171.609396,150.066979,137.391092,58.099461,130.910685,51.903579,100.036079,158.156647,80.847436,95.357090,154.915635,76.272364,89.442060,87.481911
166.278559,146.372759,139.803430,53.000697,128.331831,52.999065,101.625876,156.213115,83.869643,96.142885,155.473787,78.213133,89.442791,87.482716
165.059450,144.611430,143.356764,49.728391,127.178761,52.805216,102.430360,155.409356,84.699218,97.393044,155.014863,79.273182,89.442043,87.482155
169.404711,141.097892,147.659067,63.110620,136.002695,65.971961,102.892897,157.230923,84.782331,99.843958,154.144954,82.098268,89.441882,87.482060
171.099125,139.705929,149.522077,68.563617,139.810145,71.504819,103.036323,157.967856,84.928465,100.841185,153.792033,83.295575,89.442574,87.482051
171.046402,140.395826,150.424079,70.523922,147.507238,64.934678,104.998036,155.510763,83.705437,101.482695,144.182333,90.195131,89.442174,87.482323
170.910579,140.615014,150.788246,71.315265,150.242301,62.321157,105.790886,154.516236,83.247498,101.741796,140.284106,93.136334,89.441655,87.481270
157.734642,136.049251,156.365679,72.205231,152.805096,77.396517,109.573415,151.894025,91.940007,103.434759,141.111653,93.435524,89.441878,87.481917
153.701126,134.990873,157.339139,76.588873,159.518012,86.681016,112.380826,150.469045,92.873826,105.017757,140.596105,96.476148,89.442326,87.482075
152.035771,134.541502,157.731494,78.364428,161.523627,90.492603,113.567437,149.891912,93.352241,105.654924,140.385556,97.765342,89.442556,87.482026
163.468330,137.326076,152.265137,66.415320,157.103814,91.285070,112.554181,146.342385,82.114725,107.106284,140.628591,112.788933,89.443008,87.482639
161.801578,137.999362,149.267070,61.633601,157.244056,87.030224,112.034222,144.430073,78.255202,108.133245,140.988136,115.335117,89.441447,87.482096
155.962508,136.660241,146.479621,60.036832,159.736720,76.271077,111.441235,140.461607,82.980288,111.278844,139.922186,112.616128,89.441775,87.481906
150.526649,135.672062,147.335325,61.437700,160.445619,69.507430,106.942302,125.338754,79.958587,117.517972,126.038382,99.697748,89.441962,87.481617
148.423568,135.682997,151.658455,66.684261,156.662466,74.330688,104.541445,103.722569,94.718943,118.692407,112.025962,101.171676,89.442346,87.481453
158.473146,136.020473,157.051524,67.162441,152.011846,71.510126,101.140168,81.691523,107.210138,114.392503,94.632329,113.261569,89.442579,87.482173
156.283758,135.932390,158.789161,66.128934,154.857005,66.875988,100.031153,73.514008,112.537753,112.978975,88.448784,122.226677,89.441988,87.481391
167.843780,133.153568,154.906919,66.626861,156.993527,72.423071,98.888353,69.255476,96.889713,113.050538,84.300213,114.454313,89.442201,87.482362
163.723521,132.830058,154.566591,63.589383,159.183788,69.373784,99.641744,66.047982,89.988802,112.608850,80.727445,111.129916,89.442228,87.482093
153.418062,134.657401,157.297872,58.999197,158.685614,70.156057,102.105240,58.872745,80.352197,113.430762,67.971147,90.472717,89.442410,87.483595
169.703758,137.624560,155.956294,55.017834,155.300911,69.441390,101.948891,49.761346,87.367664,113.638292,60.993527,87.953201,89.443001,87.482426
175.226423,141.210948,134.873845,44.941387,149.246972,58.097863,101.271951,47.263062,79.882534,117.591283,56.269782,75.140613,89.442107,87.481758
179.131320,141.866027,124.947038,48.639809,149.785782,57.714980,98.522522,46.811928,78.518103,120.253143,50.136655,67.910250,89.442457,87.482596
176.929707,142.175533,121.184093,50.135710,151.344269,57.547366,96.583019,46.730406,73.748425,121.680865,47.530751,67.129242,89.442606,87.482157
170.161432,141.875764,120.409159,47.337897,149.929424,59.204905,98.872052,46.714066,73.181131,121.181239,45.457430,67.820678,89.441982,87.482021
171.411052,142.742071,119.554532,47.706610,136.870805,48.598317,97.744570,46.710939,73.161649,123.731718,46.276595,68.008730,89.442124,87.481791
164.031977,142.303752,121.594213,51.103645,140.536615,36.029051,99.646076,46.710262,72.741606,121.427314,47.544151,68.819970,89.442355,87.482591
173.301486,142.036351,122.057200,44.080608,122.814617,54.589997,97.489513,46.710819,78.422062,120.996573,50.461068,67.880809,89.442051,87.481865
173.808880,141.537680,122.966327,37.071842,139.931326,49.411167,98.785366,47.207899,76.540184,118.504726,53.116750,67.900407,89.442055,87.481841
157.235286,142.117432,125.459231,41.034430,152.655963,54.634496,98.681265,54.389076,77.843284,117.843001,61.750277,67.504762,89.442346,87.482297
157.769530,142.925976,126.754016,37.366651,157.943511,53.305041,96.430236,57.590317,78.105939,118.322879,65.550406,67.458444,89.442707,87.482218
170.803863,143.146112,123.245923,41.462964,150.791160,49.436748,94.487241,66.088096,78.736525,117.637968,73.653633,67.925609,89.442340,87.482279
154.114017,145.105349,127.746999,53.837989,145.394009,51.263590,99.632389,77.803990,71.064580,116.979554,85.579994,67.155829,89.441911,87.482212
169.884056,147.503341,134.931388,54.070448,140.393511,52.301460,100.512691,86.082913,73.405144,114.397606,92.880229,67.829380,89.442420,87.482085
176.157671,144.828140,150.603246,42.617789,132.059603,49.611992,96.953764,96.390548,72.459532,111.257571,105.400889,69.172378,89.442584,87.481148
157.132617,143.904363,155.284830,35.727985,125.370238,68.434425,94.738751,103.536867,72.729801,109.106882,118.476328,69.949694,89.442095,87.481941
164.654610,159.059150,158.627338,41.552994,157.698135,49.774663,95.207774,108.843077,69.766599,107.709368,123.136917,71.035357,89.442999,87.482064
168.726068,165.798940,153.019202,40.859536,127.794887,39.848296,96.922327,122.135627,69.562565,107.568975,130.320831,67.959947,89.441639,87.481705
171.297037,160.138217,147.973145,37.287357,112.580682,37.956500,96.378864,127.279564,71.444829,106.172254,132.827061,70.420916,89.442202,87.482750
168.246070,155.744583,148.818512,35.551489,113.504403,34.465321,97.412525,135.452242,70.783540,102.331423,138.570148,69.045986,89.442732,87.481743
