neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
148.084133,164.647861,121.500531,175.040681,112.582784,168.407070,99.486517,175.887171,132.233680,88.857262,174.396631,88.552712,89.455587,87.467848
164.455678,161.442713,121.508185,161.448904,102.042568,168.405717,96.363089,172.911633,127.222499,88.467138,170.820038,97.009493,89.455677,87.468486
170.307773,152.548188,116.840076,108.783643,94.146781,168.405288,94.363603,167.924194,86.459387,88.899280,164.468512,76.225761,89.455732,87.468216
172.622706,149.306337,112.989140,86.919282,92.746209,168.405140,93.550262,165.840144,79.630315,89.073736,161.891798,72.430846,89.456352,87.467820
173.537724,148.176476,111.115778,77.925889,92.490004,168.406390,93.221654,164.989152,78.431250,89.144557,160.849026,71.736216,89.455776,87.468388
173.903381,147.755784,110.306251,74.229906,92.441623,168.407376,93.087790,164.644957,78.215825,89.172866,160.426368,71.611967,89.455509,87.467461
174.051170,147.592402,109.968660,72.714790,92.431259,168.406493,93.034712,164.505372,78.177163,89.184464,160.255405,71.590496,89.455445,87.468114
174.107648,147.528499,109.833538,72.094192,92.430568,168.405485,93.013133,164.447915,78.169577,89.189138,160.186508,71.587835,89.455784,87.468016
174.131329,147.503728,109.778423,71.842797,92.431264,168.405137,93.003525,164.425682,78.167202,89.190941,160.158672,71.587762,89.455700,87.467304
174.144651,147.491733,109.752385,71.736681,92.430221,168.405763,93.000982,164.415241,78.167345,89.191463,160.145727,71.587370,89.456257,87.468548
174.148755,147.487568,109.743915,71.697059,92.429459,168.404540,92.998884,164.413060,78.166784,89.191835,160.141310,71.587407,89.455931,87.468012
174.289497,148.029811,117.602191,52.919827,92.429221,168.404719,95.334537,163.137992,78.167190,89.135567,155.003748,71.541407,89.455183,87.467680
159.420882,148.455339,127.954889,48.840789,92.427643,168.405575,96.638320,162.708483,82.088777,89.863466,152.514988,71.943542,89.456200,87.468033
153.331197,148.545301,132.216067,47.186576,92.430072,168.406812,97.158776,162.535159,83.685144,90.153859,151.507553,72.108944,89.456290,87.468171
152.144524,148.569732,133.950117,46.513899,92.432439,168.405938,97.367503,162.466666,84.332195,90.269980,151.101823,72.178703,89.455613,87.467411
