neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
149.336765,160.426314,102.090963,175.060593,127.303485,165.425814,103.669333,170.310184,130.926914,94.249779,164.108873,130.224143,89.563247,87.359675
158.494372,167.862284,113.971168,175.059059,116.171922,50.556060,95.084803,165.183982,126.493031,90.344013,171.894643,130.224663,89.563771,87.359259
173.069845,170.978944,117.997835,137.263744,107.869453,49.221561,90.374693,158.276103,125.421723,93.345417,165.208872,126.296459,89.563425,87.359620
171.462101,171.812071,120.005354,76.397948,105.755553,55.356806,86.883469,150.110475,129.635636,95.685811,157.043421,129.480832,89.563504,87.359525
171.195297,171.862424,119.737888,52.750927,105.422615,61.152470,85.093006,146.312893,131.611845,96.769147,153.604841,130.082141,89.563772,87.359575
163.602817,171.088751,128.779180,52.380849,106.517705,62.877506,84.954015,143.387771,132.157198,98.446689,152.502438,130.198180,89.563622,87.359387
161.770767,170.402287,128.353795,56.156420,106.854868,64.894888,84.743958,142.788181,132.390769,98.645172,150.656944,130.219379,89.563553,87.359346
162.576757,170.808935,127.831564,60.068510,106.786063,67.832710,84.874082,142.710401,132.052683,98.366217,149.529863,130.224887,89.563801,87.359715
160.527625,170.202366,127.632798,62.017706,112.229425,67.552948,84.946248,142.441603,131.940442,97.270583,148.621960,130.226451,89.563459,87.359335
159.663788,169.923615,127.535968,62.813901,114.418055,67.438524,84.975262,142.334977,131.919121,96.825067,148.255397,130.225564,89.563652,87.359442
160.144473,172.264911,119.935793,62.827401,114.576483,62.015629,85.174926,143.418883,131.916499,97.132294,149.969007,130.224665,89.563502,87.359521
169.082075,170.267316,123.627805,52.841635,123.872712,49.977535,90.752856,154.333877,131.914497,95.126488,160.586219,95.219694,89.563377,87.359312
172.547453,167.038077,125.651116,48.806067,125.899507,45.370592,92.905082,158.740342,131.916064,94.636637,164.885141,82.268863,89.563759,87.359698
166.328108,160.418034,124.847435,44.752759,127.132270,47.153608,93.887848,154.969971,131.916010,95.209276,163.765951,79.416619,89.562827,87.359684
156.681861,155.732871,129.276637,48.802119,129.047426,56.104974,92.394455,151.887305,131.915268,96.885165,164.697846,83.682585,89.563458,87.359111
166.100916,151.947545,130.634856,49.156016,129.509036,70.774539,91.599070,148.455252,131.915414,99.979684,161.058164,86.121322,89.563529,87.359697
169.616129,148.508578,135.681704,53.677111,130.200028,74.300000,94.545914,150.360893,131.916525,102.638026,157.585301,88.371068,89.563748,87.359735
169.503405,147.802258,146.737249,64.347258,132.500626,68.701854,97.657623,150.954581,132.138820,106.395906,152.113060,70.328964,89.563349,87.359546
159.110409,146.437479,140.606817,67.778209,129.191681,48.223368,98.127203,149.778235,132.185037,112.314115,147.238871,67.094557,89.563549,87.359565
