neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
145.893027,170.454312,130.512368,175.009239,159.980858,168.405753,104.312732,170.195484,131.914557,96.789757,161.823449,131.401561,89.457020,87.467726
145.891436,173.595471,120.267045,123.886378,138.560644,80.542511,102.067568,168.790875,132.032537,93.348650,174.970714,130.733266,89.456470,87.467608
149.238002,170.870987,122.720049,50.981601,115.625632,57.036174,100.868153,161.520214,130.871336,93.230910,170.075140,89.026379,89.456731,87.467138
149.471177,169.640535,127.613678,50.201536,116.290264,54.873131,100.028060,159.497312,131.777722,96.475992,159.415464,75.620782,89.456671,87.467308
149.426429,161.991850,129.204192,54.447228,119.018534,68.769037,99.800802,145.482903,131.890899,99.533076,149.870646,85.687476,89.456600,87.467280
150.425202,158.763018,129.810063,54.426471,118.937733,76.153227,98.640299,137.798920,131.910373,103.325031,145.504035,89.122710,89.456553,87.467398
149.851037,160.060706,126.602038,58.659949,124.100494,101.961229,100.243385,125.128284,131.915747,110.073700,133.592823,70.156261,89.456316,87.466842
154.818492,159.387275,125.946894,62.002293,122.146273,95.836813,97.848528,115.650785,131.913096,113.752676,130.067856,69.456593,89.456617,87.467134
155.351260,154.026639,122.271765,62.030648,123.865346,82.624414,95.525616,103.317745,131.913899,119.013717,119.671676,67.663802,89.457282,87.467575
152.231903,152.218935,122.784151,63.452657,125.694196,87.493528,96.467924,90.717283,131.913576,124.469807,107.531769,68.947833,89.457174,87.467090
170.840151,148.547627,116.419483,64.359786,141.777684,90.728866,94.159514,84.177620,131.916706,128.937068,98.584132,66.823700,89.455921,87.466674
175.274374,151.782151,119.649545,63.801258,155.740928,97.965972,92.518033,83.633950,121.615513,128.949380,97.791702,73.567279,89.456872,87.467264
167.511452,148.135375,119.793093,69.556430,153.392552,98.513028,92.996426,70.534479,129.966309,132.092202,89.130011,69.928368,89.456564,87.466757
168.677908,147.007517,120.771955,57.742798,152.929719,98.079691,93.853524,63.757378,131.543929,133.984284,80.055687,68.018568,89.456606,87.466934
172.296869,147.082182,124.084976,41.678267,151.828386,90.977650,91.822109,58.580365,131.845088,134.900537,73.129565,80.510126,89.456921,87.468034
176.649478,153.079498,133.337885,48.203461,152.144912,121.179040,94.018638,55.200949,131.898194,131.479048,68.013709,88.728122,89.456501,87.466241
170.074172,154.305796,134.505525,50.136258,170.802945,145.713437,95.447729,50.786589,131.916115,126.248939,66.976247,123.655628,89.455396,87.466938
167.161091,159.532935,137.031512,45.555012,170.260612,139.069502,96.029130,47.455060,131.912230,127.985481,63.306424,129.087915,89.456958,87.468751
160.976165,169.079771,142.086776,48.076100,153.339565,155.092001,86.260672,51.247420,131.914468,145.179801,54.099327,130.018039,89.457960,87.469469
158.273046,158.677292,111.761902,64.596218,132.445513,154.591547,81.474154,54.143945,130.169404,154.230222,51.117423,130.188214,89.458351,87.467368
157.153629,156.765302,88.740288,71.373861,123.752346,154.386800,79.526605,55.323011,129.453107,157.892434,49.907252,130.216452,89.456782,87.467731
156.696501,156.485756,85.955047,74.130316,120.208023,154.300753,78.735926,55.800342,129.166507,159.371462,49.416471,130.224493,89.459299,87.468614
170.515187,170.163253,118.859250,39.375995,124.317436,147.957361,83.786653,58.612052,87.065516,159.922066,67.011094,82.838201,89.455482,87.468035
164.427078,170.728083,101.990575,38.293574,127.017307,108.085120,92.308441,65.627010,79.749118,149.758694,82.206501,85.464264,89.455897,87.466786
165.159346,168.422441,94.769373,41.969401,125.137325,106.525581,94.025992,70.881593,78.455055,144.715891,90.969887,82.422201,89.456974,87.467631
162.313633,169.781411,94.333895,52.086608,121.698272,83.854251,97.104262,80.974583,71.567031,140.672885,98.326804,77.390185,89.456133,87.466756
162.680746,170.807536,93.301656,54.896122,119.690953,71.316387,97.489285,89.220580,70.902085,138.052979,102.386369,80.601126,89.456973,87.467329
168.364881,172.218061,94.111072,49.775301,122.628723,56.082221,97.828278,99.095739,72.185005,133.569555,106.345676,83.164358,89.456271,87.467376
168.373926,172.062834,95.649375,40.503568,118.692690,52.754775,96.223944,108.045699,75.015866,129.741314,110.454993,81.488988,89.457074,87.467181
167.265798,169.316623,94.822272,37.980148,115.532313,50.672602,95.981987,112.509548,73.381260,127.308367,112.811721,78.698509,89.457602,87.467523
154.392437,166.419833,94.508266,34.770336,111.661029,47.188178,96.506247,116.570524,70.852151,122.471866,115.651077,80.865311,89.456507,87.468051
150.342395,163.562874,92.642122,32.473932,110.603689,43.821589,94.741435,119.687511,76.508300,117.788292,121.975451,77.527254,89.456387,87.467620
168.218510,165.024643,93.348117,32.045058,109.822603,40.686746,93.991283,122.359437,77.843478,115.522069,127.234329,71.752892,89.456902,87.467483
156.596421,164.570393,97.362091,39.072103,118.044483,47.470804,90.303273,126.471972,76.562452,110.787563,129.537318,68.439408,89.457277,87.467677
174.142411,163.885612,98.179540,34.694998,121.490529,50.915597,88.636004,130.344827,73.588920,108.847755,133.663457,68.357277,89.457668,87.468048
175.758563,163.574881,98.504617,32.951746,122.641701,52.339385,87.963386,131.920912,72.535977,108.060790,135.342911,68.533599,89.456229,87.466523
174.886096,161.825780,100.202932,32.169512,112.904355,46.087028,87.018592,141.002729,73.896889,104.996918,140.813025,72.072519,89.456569,87.467704
163.730753,161.731857,101.624789,31.987751,113.566036,39.696516,86.709860,144.920313,71.280162,103.375197,143.977644,74.494955,89.456562,87.467158
158.935751,161.568845,102.197832,31.952183,112.907294,37.325410,86.566849,146.513392,70.404338,102.710201,145.262815,75.516187,89.457151,87.467518
156.984502,161.478452,102.432067,31.945441,112.485326,36.408870,86.507361,147.160416,70.081022,102.439920,145.784268,75.935958,89.456476,87.466114
156.193927,161.438571,102.527366,31.945822,112.286382,36.043396,86.482105,147.422242,69.954939,102.329935,145.996645,76.107469,89.456999,87.466321
155.873689,161.420412,102.564776,31.944561,112.201917,35.900131,86.470889,147.531110,69.906561,102.284848,146.081089,76.175865,89.457828,87.468128
155.740805,161.412475,102.580605,31.944341,112.166986,35.840181,86.467944,147.574012,69.886367,102.267703,146.115721,76.204111,89.456393,87.466395
156.217362,161.547348,102.783542,32.379076,112.125734,35.855033,86.403077,147.876154,70.063744,102.108595,146.310272,76.018060,89.456556,87.466506
