neckV,neckH,Rsho,Relb,Lsho,Lelb,Rhip,Rkne,Rank,Lhip,Lkne,Lank,LSpine,RSpine
145.293594,155.455006,123.724449,175.028383,121.696309,168.405516,99.216015,167.377075,131.915707,96.776420,173.415934,131.351524,89.505251,87.417807
158.328028,161.896032,109.867514,75.467379,107.115921,53.185660,96.129851,167.997896,87.543743,93.093097,169.002473,98.627007,89.505290,87.418068
178.711684,161.445398,121.597142,49.485305,115.642188,39.858286,93.870923,162.439121,79.830142,94.482913,160.120166,79.099860,89.505153,87.418262
163.692481,160.012172,129.010692,50.625510,119.509978,50.283255,91.352198,160.963234,78.466955,97.653183,156.012269,69.579376,89.505207,87.417913
160.074084,157.114053,126.405332,52.140212,113.184668,54.409324,92.020199,165.615381,77.872490,98.087402,152.802792,68.771387,89.505522,87.418281
163.225484,156.290363,125.635584,55.890549,116.449144,56.056574,94.205115,166.844680,76.368616,99.120052,151.436922,67.938911,89.505156,87.418158
164.500413,155.933685,125.282338,57.431358,117.725032,56.734106,95.086481,167.343325,75.798447,99.537143,150.882111,67.690022,89.505218,87.417653
163.853360,155.936773,130.390434,53.984790,121.120054,65.006813,95.765580,166.176315,74.084668,100.022763,151.539910,67.837042,89.505515,87.418053
158.657527,148.266958,134.054900,53.727519,126.446186,81.917282,101.669504,145.133291,67.796646,109.201894,147.631177,70.299906,89.504323,87.417404
157.873676,146.624568,136.469586,52.167832,127.133234,96.767124,104.357896,137.194220,68.555226,110.401249,140.483215,69.051689,89.505256,87.418039
157.357839,143.772591,136.560706,55.955534,130.553012,87.523253,94.147953,119.481907,67.820604,117.880311,129.634591,67.152142,89.505610,87.419146
169.520499,145.897278,143.320303,66.873763,138.121399,80.406972,90.743113,115.237707,69.382414,118.269284,124.932008,71.205946,89.505161,87.417759
175.081083,144.274234,136.884077,61.783436,134.861060,64.673571,91.942250,104.615660,69.068051,119.941130,112.923529,67.484549,89.505274,87.417526
162.777020,140.089959,133.525004,75.387762,170.774820,59.547634,92.836320,100.737337,92.668939,119.524089,102.844009,74.827567,89.505527,87.417961
160.398463,136.563491,129.996792,81.155541,166.675935,69.486025,91.576258,93.823310,81.353682,119.472642,98.886058,74.835546,89.506323,87.418984
174.400734,140.021107,158.643722,72.381318,173.562108,86.851260,103.900505,85.827510,78.766853,109.158448,90.938986,91.092871,89.505593,87.417026
170.219804,138.240160,176.296439,82.770760,175.737674,90.112674,103.210961,82.881504,71.349503,113.290825,84.590018,87.828687,89.504803,87.416203
170.946150,143.455133,173.127259,78.550478,178.045912,82.222666,103.580809,79.181872,70.242697,113.460484,80.651035,82.638338,89.505636,87.419287
169.681367,149.621221,161.488706,62.671679,174.719936,85.811848,107.663696,74.867584,71.848803,114.791087,74.827077,88.514879,89.503783,87.418202
166.489572,144.748225,160.401652,55.016133,165.708718,76.152350,109.828918,70.452365,72.321389,110.979577,72.258140,82.210695,89.504033,87.418324
161.932839,143.931971,162.765782,59.132553,169.608114,66.639125,105.878388,63.734251,74.692612,113.409848,64.635200,78.753606,89.506370,87.418025
171.400241,141.254196,155.684686,99.903739,170.482903,72.451715,103.550739,57.111274,75.689433,116.450024,59.751977,70.708445,89.505653,87.416862
164.129973,141.381376,144.907242,136.771159,164.023138,65.629437,110.473756,56.122882,77.679085,119.219862,59.732936,69.480152,89.506837,87.418038
157.965182,144.872318,142.665191,153.932286,159.618563,65.629711,112.720436,56.358491,77.433867,121.355789,59.295587,68.998141,89.507078,87.419164
155.708693,145.693108,141.643211,161.425692,154.953225,66.281718,113.481252,56.647144,77.209716,122.528868,59.002480,68.763107,89.504495,87.416946
154.967444,146.066150,141.198500,164.316731,151.358453,67.314751,113.648962,56.868226,77.180446,123.274670,58.904720,68.705105,89.504493,87.417471
153.202828,147.686207,140.375354,167.375104,142.505316,71.888317,111.662083,59.439746,77.975530,125.943202,57.742859,68.813611,89.507615,87.418600
165.709852,148.328705,137.862265,160.489488,156.369037,73.477271,111.279737,60.637098,78.131088,121.993181,60.684183,112.949784,89.502867,87.417209
168.117494,149.554388,139.892311,159.026897,153.047771,75.304154,111.723771,61.250353,78.897997,120.039049,62.076062,125.890383,89.506777,87.416535
152.999527,150.809679,137.120297,167.122825,117.525930,80.330810,110.635404,63.350990,78.553533,130.012844,70.324884,115.096052,89.505426,87.416559
149.488106,146.702159,133.996511,174.472089,159.891895,70.799455,118.891810,65.119448,114.440432,126.824496,75.736813,79.187874,89.504778,87.418339
152.935952,145.170586,135.591652,174.986353,175.052578,75.131791,120.228354,68.036053,127.275376,125.670932,79.731939,82.109324,89.506781,87.420831
153.232307,144.124714,145.221896,168.682535,171.590074,84.610319,118.656537,79.150914,131.082904,119.758616,78.808585,88.504560,89.507457,87.419320
170.397016,144.562340,145.577944,151.477770,162.754643,63.328758,123.437136,84.876099,131.765021,127.044287,89.476135,75.103122,89.507076,87.418522
172.378604,146.180408,141.248738,147.960233,156.999977,59.001870,124.322406,86.613581,131.886680,128.532004,95.383746,74.268715,89.507514,87.419528
172.188109,145.198364,136.312931,149.984216,153.993797,44.592185,120.448686,96.535082,131.910329,124.223933,109.137658,71.959191,89.506937,87.417105
173.815799,142.912075,136.845226,135.919666,151.294781,57.309638,117.011102,101.866545,131.912351,121.287766,115.777412,72.276535,89.504942,87.419102
153.414953,142.689752,118.972964,170.276539,147.206156,51.431291,114.807887,103.980446,128.407974,117.714935,119.628891,73.076661,89.505195,87.417807
149.888841,143.457102,114.693891,174.716507,144.714056,46.825563,111.741893,108.296504,131.259389,115.436661,121.466961,68.300690,89.505412,87.416797
149.305788,145.048492,118.703022,175.001192,138.847566,42.420734,109.207034,114.380713,131.790959,113.901318,124.916173,67.056047,89.504194,87.417763
149.134205,148.448896,121.376918,175.026623,117.895824,35.127104,106.830179,116.884284,131.892487,112.262240,127.754936,68.658729,89.505578,87.417750
149.067006,149.645937,119.050758,175.029238,115.836355,34.232442,106.988916,117.279007,131.909607,110.188089,129.101855,71.292049,89.504635,87.417592
148.979159,150.291067,116.902484,175.028998,114.044608,33.807347,104.478767,119.441737,131.914476,107.841523,131.857842,67.584505,89.506068,87.419199
148.901439,152.491808,118.239401,175.029130,115.258789,33.729222,101.018363,125.363464,131.913748,104.383765,138.915255,66.783803,89.504269,87.417010
167.120066,154.746838,114.999648,149.237578,129.334266,33.738847,95.509734,125.840824,131.915365,98.665770,146.317679,67.345615,89.504878,87.417881
159.064645,153.491431,117.807997,135.794395,127.067692,34.010292,92.547602,126.852791,131.913233,95.913360,150.290650,68.453811,89.504848,87.419395
155.446283,152.838122,118.286674,130.292056,125.894767,34.119607,91.337707,127.265053,131.915001,94.790588,151.906233,69.052146,89.504704,87.417292
153.810365,152.560891,118.465977,127.897424,125.166335,34.209289,90.839013,127.509276,131.915418,94.294511,152.550825,69.318631,89.506523,87.418307
153.426942,152.447978,118.511598,126.924379,124.870535,34.246371,90.636180,127.607437,131.914625,94.093748,152.814396,69.430873,89.505117,87.418926
153.359336,152.402022,118.527442,126.531331,124.751223,34.263640,90.553633,127.649203,131.916050,94.012229,152.922040,69.477519,89.505874,87.419454
